TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureAvgInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches
82,69,55,63,53,32,78,55,32,30,10,10,9,13,4,20,0
82,73,63,62,60,59,93,70,47,29.85,10,9,2,15,7,25,0
83,70,57,64,50,27,81,48,15,29.85,10,9,7,16,8,28,0
72,57,41,33,27,22,67,43,19,30.11,10,10,10,14,5,20,0
77,63,48,57,46,30,73,53,32,29.96,10,10,10,14,6,22,0
86,74,62,61,56,44,84,57,29,29.95,10,10,7,15,4,24,0
76,66,55,63,51,43,81,65,49,30.04,10,9,5,12,4,18,0
71,62,52,65,60,47,93,85,77,30.01,10,4,1,12,5,20,0.001
52,44,36,46,33,21,83,63,43,30.18,10,8,2,20,8,29,0.11
59,45,31,32,27,21,82,56,29,30.1,10,10,10,12,3,17,0
80,62,44,50,46,35,83,60,37,29.85,10,10,7,13,6,21,0
82,68,53,65,57,48,93,74,54,29.95,10,7,0,16,5,27,0
73,51,28,67,45,20,89,79,69,30.05,10,8,2,20,10,37,0.08
47,36,24,27,20,12,75,56,37,30.33,10,9,4,18,10,29,0.08
50,40,30,36,31,26,92,72,52,30.18,10,8,2,9,4,13,0.17
53,46,38,43,39,35,86,76,66,30.06,10,7,4,13,3,16,0
65,54,43,42,38,35,89,62,34,30.18,10,8,4,13,4,20,0
67,53,39,50,42,36,86,65,44,29.99,10,9,5,16,6,22,0
59,52,44,57,49,39,93,88,83,30.09,10,3,1,14,4,21,0.74
58,49,39,45,39,31,86,71,55,30.29,10,9,2,15,5,23,0.11
71,61,50,56,51,45,84,69,53,30.08,10,9,4,12,3,17,0.01
83,70,56,56,54,52,93,66,39,29.77,10,9,4,14,5,22,0
70,60,49,50,28,16,56,36,16,30.13,10,10,10,24,11,37,0
68,52,37,40,26,20,68,35,21,30.26,10,10,10,9,4,18,0
75,62,49,59,51,43,86,68,49,30.04,10,10,10,13,5,24,0
74,68,62,64,62,59,93,81,68,29.86,10,5,0,12,4,17,0.07
64,56,48,58,45,32,93,66,39,29.9,10,10,10,24,11,36,0
68,55,41,31,26,20,53,36,18,29.94,10,10,10,16,6,26,0
83,65,47,56,42,31,73,49,24,29.74,10,10,10,18,8,26,0
72,62,51,55,37,28,80,52,24,30.07,10,9,6,15,6,26,0
76,59,42,40,36,31,82,52,21,30.15,10,10,10,10,2,15,0
80,67,54,60,54,41,93,69,45,29.95,10,8,0,17,7,27,0
77,69,61,65,62,51,100,80,60,29.95,10,7,1,12,4,17,0
61,54,47,51,43,36,72,62,51,30.19,10,10,9,17,9,30,0
66,58,50,47,42,38,72,58,44,30.14,10,10,10,10,3,15,0
69,57,44,46,38,31,93,61,28,30.24,10,10,7,15,5,22,0
66,60,54,55,47,30,78,57,36,30.08,10,10,6,22,10,33,0.001
82,72,61,68,63,56,100,78,55,29.83,10,7,1,16,8,26,0.01
89,76,63,67,61,49,90,64,37,29.79,10,8,2,18,5,27,0
77,64,51,48,40,30,68,43,18,30.18,10,10,10,13,5,21,0
79,62,45,51,43,38,83,56,29,30.13,10,10,10,20,8,30,0
85,73,60,62,57,53,90,65,40,29.93,10,10,10,16,9,27,0
86,76,66,67,64,62,93,71,48,29.92,10,8,4,17,8,28,0
82,76,70,69,67,63,97,78,58,29.8,10,9,4,16,9,30,0.001
82,77,71,69,67,66,90,74,58,29.74,10,8,5,14,7,25,0.001
74,64,54,69,35,28,93,58,22,30.03,10,10,5,17,8,28,0.001
65,60,54,46,38,33,60,48,36,29.99,10,10,10,10,4,17,0.001
61,57,52,51,49,45,96,76,55,29.81,10,7,2,12,5,19,0.2
72,62,52,51,49,47,93,69,44,29.92,10,9,2,25,3,57,0.27
77,64,50,50,38,27,96,57,18,30.14,10,10,10,22,8,37,0
84,65,45,51,42,37,77,51,24,30.17,10,10,10,13,6,22,0
87,72,57,59,53,48,90,59,27,30.01,10,10,10,17,10,31,0
85,73,61,61,59,56,90,65,40,29.98,10,10,7,16,8,25,0
85,75,65,63,62,60,87,66,44,29.91,10,10,9,20,10,30,0
78,73,68,68,66,61,90,79,67,29.76,10,9,8,18,7,29,0.001
73,58,43,69,46,32,90,65,39,29.96,10,8,0,22,10,38,1.34
65,52,39,32,25,16,59,39,19,30.27,10,10,10,12,4,17,0
73,57,40,48,40,31,76,56,35,30.06,10,10,10,16,7,26,0
67,62,56,61,57,49,97,85,72,30.09,10,7,1,10,4,15,0.06
78,69,59,61,57,51,93,68,43,30.17,10,6,2,9,2,16,0.01
78,66,54,56,54,52,93,68,43,30.12,10,9,4,13,5,19,0
75,68,61,63,59,55,97,77,57,30.1,10,8,2,12,6,19,0
84,74,64,65,63,57,93,72,51,30.01,10,9,2,14,5,25,0.01
87,75,63,63,58,55,87,61,35,29.96,10,10,10,12,3,20,0
87,73,59,64,61,57,90,68,46,29.85,10,10,10,17,7,29,0
88,78,67,66,62,44,87,63,38,29.82,10,10,9,16,5,26,0
88,76,63,64,54,45,68,51,34,29.92,10,10,10,12,6,20,0
86,77,68,69,66,62,90,73,55,29.78,10,6,2,16,8,28,0.001
96,85,73,70,66,41,87,51,15,29.55,10,6,3,14,6,24,0
93,80,66,69,39,25,67,39,10,29.61,10,10,7,14,4,22,0
84,72,60,46,34,22,60,36,11,29.77,10,10,10,17,7,28,0
75,66,57,38,33,31,42,32,21,30.08,10,10,10,16,6,28,0
77,65,52,43,33,25,63,39,15,30.12,10,10,10,10,3,18,0
83,70,56,40,35,27,51,33,14,30.02,10,10,10,9,3,17,0
94,76,58,42,35,26,44,27,10,30,10,10,10,13,4,20,0
91,76,61,42,37,32,37,27,16,30.02,10,10,10,14,7,23,0
92,76,60,59,56,44,90,61,32,29.91,10,10,10,16,8,27,0
87,76,65,64,62,57,87,66,45,29.81,10,10,10,17,9,29,0
88,79,70,67,64,62,84,65,46,29.81,10,10,10,18,9,31,0
84,79,73,73,70,67,84,75,65,29.81,10,6,2,17,8,30,0.06
86,76,66,71,68,58,87,69,50,29.89,10,5,1,20,5,39,0.001
91,76,60,66,62,58,97,71,44,29.84,10,10,5,16,6,23,0
93,83,72,68,67,65,84,63,41,29.77,10,9,4,18,10,30,0
82,72,62,76,70,61,94,87,79,29.84,10,5,0,18,7,26,2.45
67,61,55,60,54,48,93,73,52,30.09,10,8,2,16,8,31,0.94
76,64,51,51,43,32,93,57,21,30.24,10,10,5,17,7,28,0.14
84,65,46,47,41,33,93,55,17,30.22,10,10,10,10,3,17,0
86,74,61,48,43,36,60,40,20,30.06,10,10,10,15,7,27,0
86,73,60,59,55,47,84,58,32,29.97,10,10,10,17,9,26,0
85,74,62,61,59,57,93,67,40,30.03,10,10,8,16,8,24,0
86,76,66,64,61,57,87,65,43,30,10,10,10,18,10,27,0
89,78,67,65,62,59,84,63,42,30.01,10,10,10,14,9,26,0
89,80,70,66,64,61,84,61,38,30.02,10,10,10,16,8,27,0
87,79,70,68,65,61,90,70,50,30.05,10,10,7,15,7,25,0.001
84,78,71,71,67,62,84,69,54,30.03,10,8,0,14,6,20,0.19
86,78,70,70,68,66,97,79,61,29.99,10,9,7,15,7,23,0.001
87,80,72,67,66,63,84,66,48,29.98,10,10,10,15,6,24,0.001
75,70,64,70,65,61,93,83,73,30,10,8,1,17,5,29,1.56
73,68,63,67,64,61,93,86,79,29.95,10,6,0,22,3,31,1.75
84,76,68,68,66,62,97,74,51,29.88,10,7,2,14,4,22,0
89,78,66,65,63,61,93,66,38,29.85,10,10,10,9,2,15,0
94,81,68,67,65,60,84,60,36,29.82,10,10,10,9,3,17,0
93,82,70,69,67,65,84,63,41,29.85,10,10,10,10,3,20,0
88,80,71,71,69,63,93,69,45,29.9,10,8,2,14,4,20,0
91,83,74,71,69,67,87,67,47,29.91,10,10,8,13,7,22,0
90,83,75,72,70,68,82,67,52,29.96,10,10,10,10,6,17,0.001
91,83,74,71,70,68,87,70,52,29.86,10,10,10,12,7,21,0
91,83,74,72,70,68,87,72,56,29.82,10,10,10,14,7,22,0
92,83,73,71,70,69,87,70,52,29.88,10,10,9,14,7,25,0
92,83,74,72,70,67,93,71,49,29.89,10,10,10,14,7,26,0
90,83,76,72,70,64,87,67,46,29.88,10,10,5,16,7,27,0.001
86,77,68,75,71,66,91,78,65,29.81,10,8,1,14,4,22,0.55
92,78,64,70,61,56,97,64,30,29.85,10,10,9,13,3,20,0
94,80,66,73,66,62,87,64,41,29.83,10,10,10,14,5,21,0
92,80,68,74,72,67,79,68,56,29.82,10,9,1,24,8,47,1.49
92,84,75,72,69,66,88,69,49,29.99,10,10,10,12,9,22,0
92,85,77,75,72,67,91,68,44,29.96,10,9,4,16,9,26,0.02
91,84,76,74,71,66,88,68,47,30,10,10,10,13,6,22,0.01
91,83,75,73,71,67,88,69,50,30.04,10,10,9,13,5,19,0
92,84,75,74,72,68,94,72,49,29.99,10,10,8,15,6,21,0.001
90,83,76,74,72,68,85,70,55,29.9,10,9,8,13,8,22,0.001
88,78,68,75,72,66,88,75,61,29.93,10,8,1,16,4,26,0.27
93,84,74,74,72,69,94,72,49,30,10,9,0,22,4,35,0.24
89,80,71,76,72,68,94,77,59,30.01,10,8,0,16,5,24,0.49
88,80,71,75,71,69,94,76,57,29.95,10,10,6,15,7,24,0.01
91,83,75,74,72,70,88,69,49,29.87,10,10,8,17,8,32,0.001
93,86,78,74,73,71,85,69,52,29.88,10,10,8,16,9,27,0.001
95,86,77,74,73,70,88,69,49,29.97,10,9,7,17,9,27,0
96,87,77,74,71,67,88,64,39,29.94,10,9,7,17,8,27,0
96,86,75,73,70,66,88,64,39,29.92,10,10,7,15,6,22,0
97,85,73,73,69,64,93,64,35,30,10,10,6,14,4,18,0
96,84,72,71,69,61,93,62,30,30.08,10,10,6,20,3,29,0.07
93,82,71,70,68,59,93,67,41,30.15,10,10,9,16,4,23,0
94,82,69,71,69,67,93,70,46,30.12,10,10,5,18,4,30,0
95,84,72,73,70,66,100,72,44,30.03,10,8,3,13,5,20,0
96,85,73,70,67,63,87,61,34,29.97,10,10,10,13,5,19,0
98,86,74,73,68,61,93,63,33,29.99,10,10,10,13,7,21,0
98,85,72,72,66,57,90,59,27,30,10,10,8,14,6,23,0
96,84,72,71,68,63,93,64,34,30.01,10,10,7,14,5,24,0
95,83,71,72,67,56,90,60,30,30.09,10,10,10,13,5,22,0
98,85,71,71,66,56,93,59,25,30.1,10,9,7,13,4,20,0
100,87,74,71,67,62,93,63,33,30.03,10,10,10,13,4,17,0
101,88,75,71,67,59,82,55,28,29.96,10,10,10,10,4,16,0
92,83,73,73,71,69,93,71,49,29.96,10,10,8,15,3,23,0.06
95,84,73,74,71,68,93,68,43,29.95,10,8,1,15,4,22,0.31
89,82,74,76,74,70,94,77,59,29.86,10,7,0,13,5,19,3.53
78,75,72,74,71,68,100,87,74,29.93,10,7,1,14,3,27,1.52
86,78,70,70,68,66,90,76,61,29.99,10,9,6,8,2,11,0
94,84,74,76,72,70,93,73,52,29.96,10,9,7,12,4,18,0
96,87,77,76,73,70,94,70,46,29.97,10,9,5,10,6,20,0
96,86,76,74,72,68,94,68,42,30.01,10,10,8,8,2,14,0
97,86,75,75,71,66,94,66,38,30,10,9,6,7,3,14,0
94,84,74,77,72,68,94,70,46,29.99,10,8,2,8,3,12,0.09
96,86,75,73,70,66,87,63,39,29.96,10,10,10,12,5,18,0
98,87,76,74,71,67,94,66,38,29.95,10,10,8,15,6,25,0
98,87,75,74,71,65,94,64,33,30,10,10,9,13,6,22,0
99,87,74,73,69,63,93,62,31,30.05,10,10,8,9,3,15,0
97,87,76,72,70,66,87,63,38,30.03,10,10,10,13,4,23,0
96,86,76,72,68,60,87,60,33,29.97,10,10,10,14,6,22,0
97,87,77,73,71,64,85,64,42,29.94,10,10,10,13,4,19,0
91,82,73,67,65,64,74,59,44,29.98,10,10,10,12,5,18,0
90,79,68,68,66,64,93,70,46,30.02,10,10,10,10,3,18,0
94,83,71,69,66,65,84,62,39,30,10,10,9,13,4,19,0
94,83,72,72,69,65,87,66,44,29.98,10,9,7,13,3,20,0
97,85,73,71,68,64,87,61,35,29.99,10,10,8,13,3,22,0
99,88,76,73,68,61,94,64,33,29.96,10,10,9,13,5,20,0
102,90,77,74,71,63,88,59,29,29.9,10,8,5,13,6,25,0
102,89,76,75,70,62,91,60,29,29.89,10,10,10,13,6,22,0
100,89,77,74,68,62,88,60,31,29.94,10,10,10,13,5,18,0
101,89,77,74,69,61,88,58,27,29.96,10,10,10,13,4,19,0
102,89,76,75,71,66,91,62,33,30,10,10,2,13,3,23,0.05
100,87,73,73,66,53,94,62,29,29.99,10,10,10,12,4,17,0
97,83,69,60,57,51,66,45,24,30.01,10,10,10,12,4,20,0
98,84,70,68,61,56,73,50,27,29.97,10,10,10,9,4,16,0
101,88,75,74,69,60,88,58,27,29.95,10,10,10,13,5,19,0
104,91,77,74,69,60,88,57,25,29.88,10,10,10,14,7,24,0
101,90,79,74,71,59,85,56,27,29.92,10,10,10,16,6,24,0
102,90,78,75,71,64,85,59,33,29.9,10,10,9,15,7,24,0
96,87,77,72,68,62,76,55,34,29.87,10,10,9,16,7,25,0
102,90,78,75,71,63,85,57,29,29.92,10,10,8,17,8,29,0
103,92,80,75,71,61,85,55,25,29.98,10,10,10,17,9,27,0
103,91,79,74,69,59,85,55,25,29.99,10,10,10,15,8,23,0
101,88,75,73,69,62,94,62,29,29.94,10,10,9,14,6,21,0
101,89,77,74,70,62,88,59,29,29.9,10,10,10,13,5,18,0
101,89,76,73,67,60,88,59,29,29.9,10,10,10,10,5,15,0
101,89,77,71,68,62,71,52,33,29.93,10,10,8,14,4,23,0.001
98,87,76,72,66,56,87,58,29,29.96,10,10,10,10,4,17,0
99,88,76,73,71,68,82,61,40,29.89,10,10,10,17,5,26,0
96,87,77,75,72,67,88,64,39,29.87,10,10,2,15,5,23,0.07
95,85,74,73,72,66,94,69,44,29.91,10,10,10,13,4,24,0
99,87,74,73,72,68,94,68,42,29.93,10,10,10,15,7,26,0
101,90,78,75,72,65,91,62,33,29.9,10,10,7,15,8,25,0
98,88,78,75,73,68,91,66,40,29.91,10,10,10,17,8,32,0.01
100,88,76,74,70,62,88,61,33,29.95,10,10,10,17,6,26,0
99,86,73,77,74,67,91,65,38,30,10,8,0,28,5,37,0.98
97,87,77,75,73,65,91,63,35,30.02,10,10,10,13,4,21,0.02
97,86,74,75,71,66,94,67,39,30.01,10,10,2,13,3,20,0.19
89,82,74,74,72,69,100,78,55,30.04,10,8,2,8,3,13,0.22
96,84,72,71,69,66,100,70,39,29.97,10,10,8,12,3,15,0
97,86,74,73,69,65,87,63,38,29.9,10,10,10,13,6,20,0
99,88,77,73,71,66,88,63,38,29.83,10,10,10,14,7,25,0
99,89,78,75,71,64,85,60,35,29.89,10,10,10,10,5,19,0
96,81,66,74,70,62,94,67,39,30,10,9,1,15,5,24,0.51
66,63,60,63,60,57,100,92,84,30.19,10,5,1,14,5,24,0.68
77,71,64,67,64,62,100,87,73,30.16,10,8,3,7,2,10,0
88,79,69,70,68,67,97,76,55,30.09,10,9,6,8,2,13,0
94,84,74,74,72,69,94,70,46,30.01,10,10,6,18,3,28,0.02
91,83,75,75,74,71,94,75,56,29.93,10,9,2,14,3,20,0.35
90,81,72,75,73,70,100,78,56,29.88,10,7,0,25,2,33,3.66
86,80,74,75,74,71,100,85,69,29.89,10,8,2,10,3,14,0.13
90,82,74,75,73,70,100,78,55,29.94,10,9,1,9,3,15,0.21
90,81,72,73,70,64,94,71,47,30.01,10,10,10,10,3,15,0
91,81,70,70,68,66,90,69,47,30.07,10,10,10,9,4,16,0
85,76,67,66,58,55,74,57,40,30.09,10,10,10,8,3,12,0
84,72,60,60,56,51,90,64,37,30.1,10,10,10,9,2,16,0
83,73,62,66,62,57,90,74,58,30.1,10,10,8,13,3,20,0.001
85,76,66,67,64,63,87,71,54,30.06,10,10,10,10,3,15,0
80,74,68,69,66,64,93,78,62,30,10,10,8,9,2,14,0.001
88,77,66,67,65,62,100,72,43,29.98,10,8,3,12,3,15,0
89,78,67,68,64,61,93,68,43,29.92,10,10,10,8,2,12,0
90,78,65,70,65,63,93,70,47,29.83,10,10,10,9,2,14,0
92,84,76,73,70,63,88,68,47,29.79,10,10,10,10,5,18,0
92,84,76,75,72,59,91,72,52,29.82,10,9,4,14,7,27,0.03
85,75,65,59,51,45,63,44,25,30.06,10,10,10,14,7,22,0
80,70,59,53,48,41,72,51,29,30.12,10,10,10,9,4,14,0
87,75,62,67,62,56,93,69,44,29.9,10,10,10,14,6,23,0
89,81,72,71,69,66,93,73,53,29.86,10,10,10,13,6,20,0
94,83,72,73,70,64,93,67,41,29.92,10,9,5,13,5,21,0
90,82,74,72,70,65,93,70,46,29.98,10,10,10,15,6,23,0
92,84,75,73,71,66,94,69,44,29.93,10,10,9,14,7,22,0.001
92,84,75,73,70,65,87,66,44,29.89,10,10,10,14,7,24,0
78,69,59,72,62,55,97,85,73,30.04,10,7,0,14,5,20,1.42
77,69,61,72,63,55,93,86,78,29.88,10,9,7,13,2,24,0.01
76,69,61,72,59,46,87,63,38,29.8,10,10,2,20,10,36,0.09
80,66,51,48,43,37,77,49,21,30.09,10,10,10,14,5,20,0
88,72,56,51,46,40,72,46,20,30.06,10,10,10,9,2,16,0
86,72,57,54,49,44,72,50,27,29.94,10,10,10,13,4,23,0
87,74,61,64,60,54,97,69,40,29.9,10,10,10,13,3,17,0
86,76,66,69,64,60,90,67,44,30,10,10,5,9,2,12,0
82,74,65,66,63,61,93,74,54,30.06,10,10,6,8,2,15,0
82,73,63,64,61,58,100,73,45,30.02,10,9,4,8,2,13,0
83,71,58,61,55,46,93,61,28,30.03,10,9,6,10,3,16,0
83,72,61,62,59,56,84,67,49,30.06,10,10,10,9,2,14,0.001
83,75,66,62,59,57,81,64,46,30.09,10,10,10,8,2,11,0.001
85,73,60,61,59,56,84,64,44,30.12,10,10,10,7,2,9,0
88,75,62,61,59,57,84,62,39,30.11,10,10,10,8,2,12,0
86,74,61,61,58,52,90,62,34,29.98,10,10,8,12,4,19,0
86,74,62,65,61,58,93,67,40,29.89,10,10,10,14,6,23,0
84,75,65,68,65,63,93,74,55,29.99,10,10,10,8,2,12,0
81,73,65,63,62,60,81,68,54,30.1,10,10,10,10,3,14,0
82,73,63,61,59,54,93,72,51,30.1,10,10,9,8,2,10,0.001
76,66,56,61,49,39,93,60,27,30.22,10,9,2,16,7,25,0.3
68,58,47,43,39,37,71,54,37,30.34,10,10,10,9,5,14,0
75,62,48,52,45,39,80,61,41,30.26,10,10,10,15,6,25,0
76,68,59,63,59,52,84,72,60,30.12,10,10,10,14,6,23,0.001
75,67,58,69,63,57,100,87,73,30.09,10,8,2,17,5,28,0.56
59,57,55,58,56,54,100,97,93,30.16,10,6,2,13,6,20,1.51
63,59,55,56,51,46,93,75,56,30.28,10,10,5,10,4,17,0.04
71,60,48,49,41,34,80,53,26,30.19,10,10,10,7,2,11,0
75,62,48,52,47,41,93,67,41,30.1,10,10,10,15,4,25,0
74,61,47,45,43,40,86,59,31,30.07,10,10,10,8,3,13,0
76,63,49,61,53,43,93,70,46,29.83,10,10,10,17,6,31,0
65,54,42,62,41,29,93,67,40,30.03,10,10,9,17,7,32,0
51,44,36,29,23,16,64,50,36,30.34,10,10,10,16,9,27,0
41,36,31,17,13,9,58,43,27,30.52,10,10,10,17,8,28,0
45,38,30,23,17,12,58,44,30,30.4,10,10,10,8,3,11,0
48,44,40,47,39,23,100,72,43,30.14,10,5,1,10,4,15,0.02
50,42,34,49,45,28,100,91,82,30,10,4,0,17,6,28,0.01
53,42,30,27,21,14,82,52,22,30.4,10,10,10,16,6,26,0
56,43,30,27,23,19,78,51,24,30.48,10,10,3,10,2,15,0
69,51,33,45,38,23,86,64,42,30.27,10,10,10,13,3,22,0
70,57,44,63,57,43,100,85,70,30.08,10,8,0,12,3,16,0.01
74,68,62,69,65,62,100,90,79,30.05,10,6,0,13,5,20,0.33
67,63,58,64,62,56,100,97,93,29.86,10,6,0,20,7,28,3.33
81,67,53,57,48,39,100,62,23,29.64,10,10,10,16,5,27,0
66,53,40,39,32,19,76,47,18,30.06,10,10,10,15,5,28,0
67,53,38,38,33,25,85,53,20,30.26,10,10,10,9,3,16,0
77,60,42,37,33,27,62,40,18,30.22,10,10,10,10,3,17,0
64,53,42,37,33,27,76,52,27,30.45,10,10,10,10,4,16,0
72,57,42,54,45,35,82,62,41,30.24,10,10,10,14,4,24,0
73,65,56,61,57,52,93,75,57,30.02,10,10,10,16,7,31,0
79,72,64,63,62,59,87,71,54,30.03,10,10,10,15,7,28,0
66,54,41,63,42,22,93,69,45,30.31,10,10,8,17,6,30,0
50,45,39,43,32,24,80,63,45,30.33,10,10,10,10,4,16,0
59,54,48,55,50,43,100,88,75,30.18,10,7,2,7,1,10,0
66,62,58,65,61,55,100,94,87,30.11,10,3,1,12,3,16,0.06
75,69,63,66,64,59,100,82,64,30.08,10,8,2,12,5,20,0.01
69,62,55,58,51,48,90,72,53,30.32,10,10,9,13,6,20,0
56,54,52,50,48,46,89,83,77,30.33,10,10,9,9,4,14,0
67,58,49,49,46,45,86,69,52,30.32,10,10,8,9,3,14,0
69,56,43,49,45,42,100,70,39,30.31,10,8,2,8,1,11,0
66,57,47,57,50,45,93,75,56,30.2,10,9,6,8,1,11,0.02
67,62,57,59,57,55,97,85,73,30.18,10,7,2,9,5,16,0.04
71,65,59,58,57,56,90,78,66,30.23,10,10,9,12,5,17,0.001
74,65,55,59,57,54,100,79,57,30.15,10,9,5,14,5,21,0
74,68,61,64,62,59,100,82,64,29.94,10,9,5,14,6,26,0.07
74,63,52,64,51,32,93,58,23,29.99,10,10,7,12,5,19,0
63,55,46,36,34,32,60,47,34,30.28,10,10,10,14,5,20,0
53,51,48,51,44,35,96,75,54,30.14,10,8,2,15,4,22,0.1
60,55,49,56,51,48,100,92,84,30.1,10,4,1,12,3,17,0.001
57,53,48,50,48,44,100,89,77,30.12,10,7,1,13,7,19,0.59
54,52,49,47,45,44,86,82,72,30.21,10,9,5,8,3,13,0
56,53,50,52,49,46,93,83,72,30.02,10,9,5,10,5,20,0
77,67,56,56,52,43,93,63,33,29.7,10,10,8,12,5,18,0
59,51,43,44,40,34,77,66,55,29.81,10,10,10,18,8,31,0.001
57,46,35,35,32,30,85,62,38,30.11,10,10,10,16,6,25,0
65,49,33,47,33,28,96,61,26,30.05,10,10,10,16,6,30,0
74,64,53,63,57,48,100,83,66,29.93,10,9,3,12,5,21,0.01
66,54,41,63,49,32,93,79,65,30.09,10,8,5,16,8,24,0.03
47,40,32,34,30,26,92,71,49,30.25,10,10,7,14,4,21,0.13
67,49,30,42,36,29,92,68,43,30.14,10,10,10,10,2,15,0
46,43,39,43,40,32,100,87,73,30.36,10,6,0,13,6,21,0
42,39,36,31,29,27,76,70,64,30.48,10,10,9,14,8,21,0.001
40,37,34,39,35,29,100,82,64,30.25,10,3,1,9,5,13,0.63
43,41,38,41,39,37,100,95,89,30.08,10,4,2,12,5,18,0.2
